,full_label,hemi,Yeo_17_nets,labels,index,Yeo_7_nets
118,17Networks_RH_SomMotA_7,rh,SomMotA,SomMotA_7,118.0,Motor
119,17Networks_RH_SomMotA_8,rh,SomMotA,SomMotA_8,119.0,Motor
120,17Networks_RH_SomMotA_9,rh,SomMotA,SomMotA_9,120.0,Motor
121,17Networks_RH_SomMotA_10,rh,SomMotA,SomMotA_10,121.0,Motor
122,17Networks_RH_SomMotA_11,rh,SomMotA,SomMotA_11,122.0,Motor
123,17Networks_RH_SomMotB_S2_1,rh,SomMotB,S2_1,123.0,Motor
124,17Networks_RH_SomMotB_S2_2,rh,SomMotB,S2_2,124.0,Motor
125,17Networks_RH_SomMotB_S2_3,rh,SomMotB,S2_3,125.0,Motor
126,17Networks_RH_SomMotB_S2_4,rh,SomMotB,S2_4,126.0,Motor
127,17Networks_RH_SomMotB_S2_5,rh,SomMotB,S2_5,127.0,Motor
128,17Networks_RH_SomMotB_S2_6,rh,SomMotB,S2_6,128.0,Motor
129,17Networks_RH_SomMotB_S2_7,rh,SomMotB,S2_7,129.0,Motor
130,17Networks_RH_DorsAttnA_TempOcc_1,rh,DorsAttnA,TempOcc_1,130.0,"Dorsal
attention"
131,17Networks_RH_DorsAttnA_TempOcc_2,rh,DorsAttnA,TempOcc_2,131.0,"Dorsal
attention"
132,17Networks_RH_DorsAttnA_SPL_1,rh,DorsAttnA,SPL_1,132.0,"Dorsal
attention"
133,17Networks_RH_DorsAttnA_SPL_2,rh,DorsAttnA,SPL_2,133.0,"Dorsal
attention"
134,17Networks_RH_DorsAttnA_SPL_3,rh,DorsAttnA,SPL_3,134.0,"Dorsal
attention"
135,17Networks_RH_DorsAttnA_SPL_4,rh,DorsAttnA,SPL_4,135.0,"Dorsal
attention"
136,17Networks_RH_DorsAttnB_PostC_1,rh,DorsAttnB,PostC_1,136.0,"Dorsal
attention"
137,17Networks_RH_DorsAttnB_PostC_2,rh,DorsAttnB,PostC_2,137.0,"Dorsal
attention"
138,17Networks_RH_DorsAttnB_PostC_3,rh,DorsAttnB,PostC_3,138.0,"Dorsal
attention"
139,17Networks_RH_DorsAttnB_PostC_4,rh,DorsAttnB,PostC_4,139.0,"Dorsal
attention"
